Company Name,Domain,Website,LinkedIn URL,Founded Year,Revenue,Revenue (USD),Tier,SaaS Status & Reason
TestGorilla,testgorilla.com,https://www.testgorilla.com,https://www.linkedin.com/company/testgorilla,2020.0,63.5M,63500000.0,Tier 1,True
Lodgify,lodgify.com,https://www.lodgify.com,https://www.linkedin.com/company/lodgify,2012.0,75M,75000000.0,Tier 1,True
Fresha,fresha.com,https://www.fresha.com,https://www.linkedin.com/company/heyfresha,2015.0,43.4M,43400000.0,Tier 1,True
Lingokids,lingokids.com,https://www.lingokids.com,https://www.linkedin.com/company/lingokids,2015.0,31.9M,31900000.0,Tier 1,True
Expensya,expensya.com,https://www.expensya.com,https://www.linkedin.com/company/expensya,2014.0,26.1M,26100000.0,Tier 1,True
GWI,gwi.com,https://www.gwi.com,https://www.linkedin.com/company/gwidotcom,2009.0,48.1M,48084000.0,Tier 1,True
Monta,monta.com,https://www.monta.com,https://www.linkedin.com/company/montaapp,2020.0,100M,100000000.0,Tier 1,True
Jet HR,jethr.com,https://www.jethr.com,https://www.linkedin.com/company/jethr,2023.0,37M,37000000.0,Tier 1,True
Orgvue,orgvue.com,https://www.orgvue.com,https://www.linkedin.com/company/orgvue,2007.0,52.5M,52500000.0,Tier 1,True
SAP Signavio,signavio.com,https://www.signavio.com,https://www.linkedin.com/company/signavio,2009.0,30M,30000000.0,Tier 1,True
Adjust,adjust.com,https://www.adjust.com,https://www.linkedin.com/company/adjustcom,2012.0,141.3M,141300000.0,Tier 1,True
ifeel,ifeelonline.com,https://www.ifeelonline.com,https://www.linkedin.com/company/ifeelonline,2017.0,192M,192000000.0,Tier 1,True
Teamtailor,teamtailor.com,https://www.teamtailor.com,https://www.linkedin.com/company/teamtailor,2013.0,47M,47000000.0,Tier 1,True
Runna,runna.com,https://www.runna.com,https://www.linkedin.com/company/runna,2020.0,19.7M,19700000.0,Tier 1,True
Bynder,bynder.com,https://www.bynder.com,https://www.linkedin.com/company/bynder,2013.0,130M,130000000.0,Tier 1,True
Connectd,connectd.com,https://www.connectd.com,https://www.linkedin.com/company/connectd-co,2019.0,12M,12000000.0,Tier 1,True
Reward Gateway,rewardgateway.com,https://www.rewardgateway.com,https://www.linkedin.com/company/reward-gateway,2006.0,235.0M,234990000.0,Tier 1,True
AKUR8,akur8.com,https://www.akur8.com,https://www.linkedin.com/company/akur8,2019.0,62M,62000000.0,Tier 1,True
Supermetrics,supermetrics.com,https://www.supermetrics.com,https://www.linkedin.com/company/supermetrics,2013.0,89.5M,89500000.0,Tier 1,True
Matera,matera.eu,https://www.matera.eu,https://www.linkedin.com/company/materafr,2017.0,16M,16000000.0,Tier 1,True
Smartly,smartly.io,https://www.smartly.io,https://www.linkedin.com/company/smartly-io,2013.0,150M,150000000.0,Tier 1,True
Unmind,unmind.com,https://www.unmind.com,https://www.linkedin.com/company/unmindhq,2016.0,46.1M,46100000.0,Tier 1,True
