"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"One Identity","oneidentity.com",,"http://www.oneidentity.com","http://www.linkedin.com/company/one-identity","2016","62.8M",62800000,"Tier 1","true"
"Luciq","luciq.ai",,"http://www.luciq.ai","http://www.linkedin.com/company/luciq","2014","36.5M",36500000,"Tier 1","true"
"Skan AI","skan.ai",,"http://www.skan.ai","http://www.linkedin.com/company/skan-ai","2018","22.2M",22200000,"Tier 1","false"
"Luma","lumalabs.ai",,"http://www.lumalabs.ai","http://www.linkedin.com/company/lumalabsai","2021","5M",5000000,"Tier 1","true"
"K1 Investment Management","k1.com",,"http://www.k1.com","http://www.linkedin.com/company/k1im","2011","346.3M",346273000,"Tier 1","false"
"Absolutdata Analytics-an Infogain company","absolutdata.com",,"http://www.absolutdata.com","http://www.linkedin.com/company/absolutdata-analytics","2001","36.5M",36500000,"Tier 1","true"
"Fieldwire by Hilti","fieldwire.com",,"http://www.fieldwire.com","http://www.linkedin.com/company/fieldwirebyhilti","2013","22M",22000000,"Tier 1","true"
"Varicent","varicent.com",,"http://www.varicent.com","http://www.linkedin.com/company/varicent","2003","150M",150000000,"Tier 1","true"
"Scrut Automation","scrut.io",,"http://www.scrut.io","http://www.linkedin.com/company/scrut-automation","2022","881K",881000,"Tier 1","true"
"Wand AI","wand.ai",,"http://www.wand.ai","http://www.linkedin.com/company/wand1","2022","",,"Tier 1","false"
"Posit PBC","posit.co",,"http://www.posit.co","http://www.linkedin.com/company/posit-software","2009","18M",18000000,"Tier 1","true"
"Airbase","airbase.com",,"http://www.airbase.com","http://www.linkedin.com/company/airbaseinc","2017","96.6M",96600000,"Tier 1","true"
"Mural","mural.co",,"http://www.mural.co","http://www.linkedin.com/company/mural.co","2011","189M",189000000,"Tier 1","true"
"Responsive","responsive.io",,"http://www.responsive.io","http://www.linkedin.com/company/responsiveio","2016","67.1M",67100000,"Tier 1","true"
"Mercury","mercury.com",,"http://www.mercury.com","http://www.linkedin.com/company/mercuryhq","2017","650M",650000000,"Tier 1","true"
"Heap | by Contentsquare","heap.io",,"http://www.heap.io","http://www.linkedin.com/company/heap-inc-","2013","69.2M",69200000,"Tier 1","true"
"Beroe Inc","beroeinc.com",,"http://www.beroeinc.com","http://www.linkedin.com/company/beroe-inc","2006","135.5M",135500000,"Tier 1","true"
"Innovapptive Inc","innovapptive.com",,"http://www.innovapptive.com","http://www.linkedin.com/company/innovapptive-inc","2012","66.3M",66300000,"Tier 1","true"
"Degreed","degreed.com",,"http://www.degreed.com","http://www.linkedin.com/company/degreed","2012","180M",180000000,"Tier 1","true"
"Artisan","artisan.co",,"http://www.artisan.co","http://www.linkedin.com/company/artisanai","2023","18M",18000000,"Tier 1","true"
"Netwrix Corporation","netwrix.com",,"http://www.netwrix.com","http://www.linkedin.com/company/netwrix-corporation","2006","245.6M",245600000,"Tier 1","true"
"Mythical Games","mythicalgames.com",,"http://www.mythicalgames.com","http://www.linkedin.com/company/mythical","2018","59.5M",59500000,"Tier 1","true"
"WorkGenius Group","workgenius.com",,"http://www.workgenius.com","http://www.linkedin.com/company/workgenius-group","2019","70M",70000000,"Tier 1","true"
"SAP LeanIX","leanix.net",,"http://www.leanix.net","http://www.linkedin.com/company/sapleanix","2012","153.4M",153400000,"Tier 1","true"
"Platform9","platform9.com",,"http://www.platform9.com","http://www.linkedin.com/company/platform9systems","2013","20.5M",20500000,"Tier 1","true"
"Teachable","",,"","http://www.linkedin.com/company/teachable","2014","21M",21000000,"Tier 1",
"Observe.AI","observe.ai",,"http://www.observe.ai","http://www.linkedin.com/company/observeai","2017","5.8M",5800000,"Tier 1","true"
"SugarCRM","sugarcrm.com",,"http://www.sugarcrm.com","http://www.linkedin.com/company/sugarcrm","2004","107.9M",107900000,"Tier 1","true"
"Augury","augury.com",,"http://www.augury.com","http://www.linkedin.com/company/augury-systems","2011","155M",155000000,"Tier 1","true"
"SuperOps","superops.com",,"http://www.superops.com","http://www.linkedin.com/company/superops-ai","2020","6.5M",6500000,"Tier 1","true"
"Simpro Software","simprogroup.com",,"http://www.simprogroup.com","http://www.linkedin.com/company/simpro-software","2002","200M",200000000,"Tier 1","true"
"Ushur","ushur.ai",,"http://www.ushur.ai","http://www.linkedin.com/company/ushur-me","2014","120.4M",120400000,"Tier 1","true"
"Reltio","reltio.com",,"http://www.reltio.com","http://www.linkedin.com/company/reltio-inc","2011","150M",150000000,"Tier 1","true"
"Jerry","jerry.ai",,"http://www.jerry.ai","http://www.linkedin.com/company/jerryinc","2017","35M",35000000,"Tier 1","false"
"Duetto","duettocloud.com",,"http://www.duettocloud.com","http://www.linkedin.com/company/duetto-research","2012","92M",92000000,"Tier 1","true"
"Cognite","cognite.com",,"http://www.cognite.com","http://www.linkedin.com/company/cognitedata","2016","170M",170000000,"Tier 1","true"
"Pear VC","pear.vc",,"http://www.pear.vc","http://www.linkedin.com/company/pear-vc","2013","",,"Tier 1","false"
"Taskrabbit","taskrabbit.com",,"http://www.taskrabbit.com","http://www.linkedin.com/company/taskrabbit","2008","70M",70000000,"Tier 1","false"
"Nexus Venture Partners","nexusvp.com",,"http://www.nexusvp.com","http://www.linkedin.com/company/nexusvp","2006","7.5M",7500000,"Tier 1","false"
"Forum Ventures","forumvc.com",,"http://www.forumvc.com","http://www.linkedin.com/company/forumvc","2014","17.9M",17900000,"Tier 1","false"
"Reforge","reforge.com",,"http://www.reforge.com","http://www.linkedin.com/company/reforge","2016","135.1M",135100000,"Tier 1","true"
"Algolia","algolia.com",,"http://www.algolia.com","http://www.linkedin.com/company/algolia","2012","75M",75000000,"Tier 1","true"
"Aurigo Software Technologies","aurigo.com",,"http://www.aurigo.com","http://www.linkedin.com/company/aurigo-software-technologies","2003","36M",36000000,"Tier 1","true"
"Linear","linear.app",,"http://www.linear.app","http://www.linkedin.com/company/linearapp","2019","20M",20000000,"Tier 1","true"
"Sense","sensehq.com",,"http://www.sensehq.com","http://www.linkedin.com/company/sensehq","2016","75M",75000000,"Tier 1","true"
"Primary Venture Partners","primary.vc",,"http://www.primary.vc","http://www.linkedin.com/company/primary-venture-partners","2015","9.9M",9948000,"Tier 1","false"
"Torre.ai","torre.ai",,"http://www.torre.ai","http://www.linkedin.com/company/torre-ai","2017","62.7M",62700000,"Tier 1","true"
"Aircall","aircall.io",,"http://www.aircall.io","http://www.linkedin.com/company/aircall","2014","175M",175000000,"Tier 1","true"
"DroneDeploy","dronedeploy.com",,"http://www.dronedeploy.com","http://www.linkedin.com/company/dronedeploy","2013","121.2M",121200000,"Tier 1","true"
"Lightning AI","lightning.ai",,"http://www.lightning.ai","http://www.linkedin.com/company/pytorch-lightning","2019","",,"Tier 1","true"
"Sitetracker","sitetracker.com",,"http://www.sitetracker.com","http://www.linkedin.com/company/sitetracker","2013","75M",75000000,"Tier 1","true"
"Axonius","axonius.com",,"http://www.axonius.com","http://www.linkedin.com/company/axonius","2017","151.5M",151500000,"Tier 1","true"
"Unite Us","uniteus.com",,"http://www.uniteus.com","http://www.linkedin.com/company/uniteus","2013","107.9M",107900000,"Tier 1","true"
"Copado","copado.com",,"http://www.copado.com","http://www.linkedin.com/company/copadosolutions","2013","140M",140000000,"Tier 1","true"
"Datto","datto.com",,"http://www.datto.com","http://www.linkedin.com/company/datto-inc","2007","644.5M",644529000,"Tier 1","true"
"Mirantis","mirantis.com",,"http://www.mirantis.com","http://www.linkedin.com/company/mirantis","1999","120M",120000000,"Tier 1","false"
"Reputation","reputation.com",,"http://www.reputation.com","http://www.linkedin.com/company/reputation-com","2006","93M",93000000,"Tier 1","true"
"Kong","konghq.com",,"http://www.konghq.com","http://www.linkedin.com/company/konghq","2017","146.1M",146100000,"Tier 1","true"
"Greenhouse Software","greenhouse.com",,"http://www.greenhouse.com","http://www.linkedin.com/company/greenhouse-inc-","2012","110M",110000000,"Tier 1","true"
"CitiXsys - iVend Retail","ivend.com",,"http://www.ivend.com","http://www.linkedin.com/company/citixsys","2002","18.3M",18300000,"Tier 1","true"
"Fleetio","fleetio.com",,"http://www.fleetio.com","http://www.linkedin.com/company/fleetio","2012","58M",58000000,"Tier 1","true"
"Midi Health","joinmidi.com",,"http://www.joinmidi.com","http://www.linkedin.com/company/midi-health","2021","150M",150000000,"Tier 1","true"
